1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
462	2-新刻正字紅樓夢南音全套（正字南音紅樓夢）四卷（存卷一）	以文堂板	中山大學中國非物質文化遺產研究中心	/	缺	南音-木魚書	11	按：1缺目錄，末頁殘，看能否補佩。2主體內容同1，版式不同，個別用字不同，僅存卷一。兩者均收？請定。
463	3-新刻正字紅樓夢南音全套（紅樓夢全本）四卷	香港五桂堂據以文堂機器板改板印行	法國陳慶浩	/	/	南音-木魚書	未見	按：1缺目錄，末頁殘，看能否補佩。2主體內容同1，版式不同，個別用字不同，僅存卷一。兩者均收？請定。
464	4-紅樓夢四卷	廣州以文堂	俗文學叢刊469冊	/	/	南音-木魚書	/	按：1缺目錄，末頁殘，看能否補佩。2主體內容同1，版式不同，個別用字不同，僅存卷一。兩者均收？請定。
465	5-紅樓夢四卷	光緒民國間廣州丹柱堂抄稿本	順德區博物館	數據未檢查	/	南音-木魚書	68頁	/
466	秦雪梅	/	廣州圖書館	/	/	待核	/	封面佚，僅存36拍，無卷端書口，書口處破損巖重，難以看清頁碼，故不知缺多少頁；疑為潮州歌，請專家定。
467	素心嘆五更	抄本	廣東省立中山圖書館	待核	待定	龍舟歌？	8	原書/題，待核是否為後人抄本。
468	龍舟馬迪發夢（馬迪發夢）	省港五桂書局刻本	日本天理大學附屬天理圖書館	全	選	龍舟歌	4	/
469	馬迪嘆五更	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	6	/
470	華林寺秀容附薦新本南音（綉蓉附薦新本）二卷	廣州五桂堂刻本 抄本	廣州圖書館	全	選	南音	8	查“秀容附薦”幾個字
471	莫做亂世人二卷	刻本	日本天理大學附屬天理圖書館	全	選	龍舟歌？	6	/
472	1-新刻節孝荼薇記全本三卷	廣州廣文堂	德國巴伐利亞州立圖書館	全	選	南音	46	按：底本2與3同，3稍殘，2完整。1與2、3內容大體同，個別用詞稍異，建議收1與2.
473	2-新刻荼薇記銀嬌全本(節孝荼薇記銀嬌全)三卷	以文堂機器板	廣州圖書館	全	選	南音	39	按：底本2與3同，3稍殘，2完整。1與2、3內容大體同，個別用詞稍異，建議收1與2.
474	3-新刻荼薇記銀嬌全本(節孝荼薇記銀嬌全)三卷	以文堂機器板	中山大學中國非物質文化遺產研究中心	全	/	南音	39	按：底本2與3同，3稍殘，2完整。1與2、3內容大體同，個別用詞稍異，建議收1與2.
475	莞音擇錦選本重校	民國三十七年序鈔本	楊寶霖	全	選	南音-木魚書	49	/
476	莊子試妻（新出龍舟歌莊子試妻）二卷	廣州德文堂刻本	廣東省立中山圖書館	全	選	龍舟歌	9	/
477	桂枝告狀（殘本）	鈔本	廣東省立中山圖書館	殘	/	木魚書	待核	/
478	桂枝寫狀二卷（李奇歎監遇救李保童憶父）	/	俗文學叢刊468冊	/	/	南音-木魚書	/	封面：桂枝寫狀，內容：卷上?李奇嘆監遇救；卷下李保童憶父
479	桂枝寫狀（桂枝寫狀南音） 閒情居士校訂	廣州廣文堂	德國巴伐利亞州立圖書館	全	選	南音	4	/
480	新刻正字桂枝寫狀柳絲琴全本（桂枝寫狀柳絲琴）二卷	省港五桂堂機器板	廣東省立中山圖書館	全	選	南音-木魚書	22	/
481	1-重訂栢玉霜自縊（栢玉霜自縊）二卷	廣州五桂堂機器板	廣東省立中山圖書館	全	/	龍舟歌	6	4種主體內容同， 1、4底本同，2與其版式、內容一致。3與其他幾種用字版式稍異。3與4底本較好。建議選3與4。
482	4-栢玉霜自縊二卷	廣州五桂堂機器板	首都圖書館	全	選	龍舟歌	6	俗：廣州以文堂機器板。
483	2-重訂栢玉霜自縊（栢玉霜自縊）二卷	廣州醉經書局機器板	廣東省立中山圖書館	全	/	龍舟歌	6	/
484	3-栢玉霜自縊二卷	香港五桂堂據舊本機器板印行	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	/
485	1新本桃花送藥（桃花送藥）二卷	佛山芹香閣板	廣東省立中山圖書館	全	選	龍舟歌	5	3與4首尾同，但正文措辭與人名不同， 1與上結尾稍異。建議1、3、4三者均收。俗：廣州以文堂板。
486	2桃花送藥	廣州五桂堂機器板	廣東省立中山圖書館	/	/	/	未見	3與4首尾同，但正文措辭與人名不同， 1與上結尾稍異。建議1、3、4三者均收。俗：廣州以文堂板。
487	3桃花送藥一卷	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	5	3與4首尾同，但正文措辭與人名不同， 1與上結尾稍異。建議1、3、4三者均收。俗：廣州以文堂板。
488	4桃花妹送藥一卷	廣州成文堂機器板	首都圖書館	全	選	龍舟歌	4	3與4首尾同，但正文措辭與人名不同， 1與上結尾稍異。建議1、3、4三者均收。俗：廣州以文堂板。
489	新選瑞英屏桃花送藥（桃花瑞英屏）四卷	五桂堂據舊版刻本改本印行刻本	中山大學圖書館	全	選	南音	94	俗：廣州五桂堂板
490	連成金玉四卷	廣州以文堂·萃英樓	俗文學叢刊472冊	/	/	南音-木魚書	/	/
491	原百八鐘	刻本	日本金文京	全	選	南音-木魚書	54	膜魚歌。始自八才子花箋記。乃粵謳之遺韻也。
492	晉鳳蘭替父報仇雪冤	黃信友堂木刻	中山大學中國非物質文化遺產研究中心	殘	/	/	85	卷三缺P1-3；疑非此類
493	豈有吾嬲	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
494	倒卷珠簾	廣州以文堂	俗文學叢刊418冊	/	/	龍舟歌	/	/
495	新串趣緻龍舟歌徐庶歸家、新發財歌二卷	廣州華興書局排印本	廣東省立中山圖書館	全	選	龍舟歌	11頁	/
496	1徐庶歸家（上、下卷）	以文堂(封面：五桂堂) 機器板	日本松浦恒雄	/	 	龍舟歌	未見	上圖有五桂堂、復旦有同益堂本
497	2徐庶歸家	廣州以文堂機器板	俗文學叢刊414冊	/	/	龍舟歌	/	/
498	殺子有報	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	上圖有以文堂本
499	殺子有報	廣州以文堂	鐵文軒	全	/	/	12	未徵集
500	殺妻（缸瓦欄孫家殺妻）	□□堂板	日本天理大學附屬天理圖書館	全	選	南音	4	分類據原書。只標上卷，實不缺。
501	胭脂井記	道光十六年莞城會源堂·萃英樓板	俗文學叢刊440冊	/	/	南音	/	/
502	1-1新出大宋高文舉珍珠記（大宋高文舉珍珠記全本）四卷（存卷一）	以文堂民國六年機器板	中山大學中國非物質文化遺產研究中心	/	/	待核	31	2.從標題看疑非該類，與1目錄比對，查異較大。3存卷三存P6-7。另新出大宋高文舉珍珠記四卷 民國廣州醉經堂鉛印本 北師大、復旦有。
503	1-2高文舉珍珠記四卷	民國六年廣州以文堂	俗文學叢刊460冊	/	/	南音-木魚書	/	2.從標題看疑非該類，與1目錄比對，查異較大。3存卷三存P6-7。另新出大宋高文舉珍珠記四卷 民國廣州醉經堂鉛印本 北師大、復旦有。
504	2-高文舉	排印本	廣州圖書館	/	待定	待核	待核	2.從標題看疑非該類，與1目錄比對，查異較大。3存卷三存P6-7。另新出大宋高文舉珍珠記四卷 民國廣州醉經堂鉛印本 北師大、復旦有。
505	高文舉	民國機器板	順德區圖書館	/	/	/	80？	未檢查
506	新諫酒色財氣解心（酒色財氣）	廣州五桂堂刻本	日本天理大學附屬天理圖書館	全	選	龍舟歌	4	/
507	酒樓戲鳳	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
508	海瑞奇案（殘本）	排印本	廣州圖書館	殘	/	待核	137	封面、前部及末尾均有闕，未詳書名，版心列各小題。現題據掃描本所擬。
509	陳世美五弄琵琶（正字龍舟世美五弄琵琶）	五桂堂機器板	金文京私藏	全	選	龍舟歌	3	復旦有三元堂刻本
510	1-新刻陳世美三官堂琵琶記（三官堂琵琶記全本）二卷	廣文堂刻本	德國巴伐利亞州立圖書館	全	選	南音-木魚書	66	按：4疑非範圍之內，請定。3未見資料，1與2主體內容同，但版刻、措辭等有異，建議收1與2.
511	2-新刻陳世美三官堂琵琶記全本（陳世美）四卷	以文堂刻本	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚書	52	按：4疑非範圍之內，請定。3未見資料，1與2主體內容同，但版刻、措辭等有異，建議收1與2.
512	3-新刻陳世美三官堂琵琶記全本（正字南音陳世美三官堂全本）四卷	香港五桂堂據以文堂機器板改板印行	法國陳慶浩（未見）	殘	/	南音-木魚書	47	按：4疑非範圍之內，請定。3未見資料，1與2主體內容同，但版刻、措辭等有異，建議收1與2.
513	新刻正字三官堂陳世美琵琶記：四卷	省港五桂堂機器板	順德區圖書館	殘	/	南音-木魚書	/	/
514	4-新刻陳世美不認前妻	廈門會文書局印會文堂本	中山大學中國非物質文化遺產研究中心	/	/	/	/	疑非此類。
515	陳生賣鼓槓	廣州華興書局排印本	廣東省立中山圖書館	全	選	木魚書	30	分類據舊書網標註。
516	陳姑追舟	丹桂堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	按：207、208與358內容不同。208為三種書合訂本，另兩種書是否要分開，請定。
517	新選正字陳姑追舟（陳姑追舟）四卷	五桂堂機器板	中山大學圖書館	全	選	南音-木魚書	45	按：207、208與358內容不同。208為三種書合訂本，另兩種書是否要分開，請定。
518	陳姑餞別偷詩稿（陳姑追舟、舟中怨、琴挑相會）	刻本	中山大學中國非物質文化遺產研究中心	全	選	龍舟歌	9	按：207、208與358內容不同。208為三種書合訂本，另兩種書是否要分開，請定。
519	孫夫人投江	廣州以文堂富經堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
520	1-陰陽扇八集八十卷 閒情居士、清閒居士、幽閒主人訂	佛山近文堂	廣東省立中山圖書館	殘	相互參補	南音	1402	均有殘闕。以1為底本，而以諸改板印本作配補。
521	2-新刻陰陽寶扇（玉龍太子走國陰陽扇）八集八十卷 閒情居士、幽閒主人訂	廣州以文堂據佛山近文堂刻本印行	廣州圖書館	殘	相互參補	南音	1369	另廈大有近文堂二集本。上圖有清刻本，南開亦有
522	2-新刻陰陽寶扇（玉龍太子走國陰陽扇）八集八十卷 閒情居士、幽閒主人訂	廣州以文堂據佛山近文堂刻本印行	廣州圖書館	殘	相互參補	南音	1369	/
523	3-新刻陰陽寶扇（玉龍太子走國陰陽扇）八集八十卷 閒情居士、幽閒主人訂	廣州以文堂據佛山近文堂刻本印行	中山大學中國非物質文化遺產研究中心	殘	相互參補	南音	/	/
524	4-新刻陰陽寶扇存第二集十卷	佛山芹香閣據佛山近文堂刻本改板印行	廣州圖書館	殘	相互參補	南音	/	/
525	新刻全本陰陽扇三卷	五桂堂	廣東省立中山圖書館	殘	選	龍舟歌	51	按：卷一缺封面，個別頁破損，與203內容有出入。另275“蛛絲琴”封面標註“後續陰陽扇”，內容是否關聯，是否需要移在一起。請定。
526	1陰魂雪恨三卷(缺上卷)	民國四年以文堂機器板	日本松浦恒雄	殘	/	龍舟歌	3	復旦有五桂堂、以文堂與藏文堂本。上圖有廣東刻本。
527	1陰魂雪恨三卷(缺上卷)	民國四年以文堂機器板	中山大學中國非物質文化遺產研究中心	殘	/	龍舟歌	未見	疑為粵劇粵曲。1、2與3內容同，1缺卷上，其中3全且底本好。4與上內容不同，且卷四有缺，底本欠佳，疑為粵劇粵曲請專家定。
528	2陰陽雪恨（正字南音再世從良全本）三卷	香港五桂堂據以文堂機器板改板印行 機器板	廣州圖書館	全	/	南音	20	/
529	3陰陽雪恨（正字再世從良）三卷	省港五桂堂刻本	英國倫敦大學亞非學院圖書館	全	選	南音	20	/
530	4陰陽雪恨四卷	廣州五桂堂	廣東省立中山圖書館	殘	/	/	/	/
531	1-陶府訴情	廣州五桂堂刻本	廣東省立中山圖書館	全	選	南音	4	底本內容不同。分類據傅斯年。俗：廣州以文堂板
532	2-陶府訴情	廣州成文堂板	首都圖書館	全	選	南音	3	底本內容不同。分類據傅斯年。俗：廣州以文堂板
533	桑園試妻	民國鈔本	順德區圖書館	/	選	南音-木魚書	25	未檢查
534	桑園試妻二卷金星戲寶兒一卷唱賣雞一卷火燒學院祭文一卷	民國大成書局鉛印本	順德區圖書館	/	/	/	10？	多種合訂，分開著錄？金星戲寶兒已收其他版本。未檢查
535	梅妃託夢（梅妃報夢）	廣州五桂堂刻本抄稿本	日本天理大學附屬天理圖書館	全	選	龍舟歌？	4	/
536	梅妃宮怨	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	俗：廣州醉經堂板
537	新選梅李爭花全本（梅李爭花）四卷	廣州醉經堂據丹柱堂刻本改板印行刻本	廣東省立中山圖書館	全	選	南音-木魚書	79	主體內容同，個別有異，建議兩者同時收錄。復旦、吉大、國圖有
538	正宗梅李爭花真本（正宗梅李爭花）四卷（存卷一卷二）	明秀堂	德國巴伐利亞州立圖書館	缺	選	南音-木魚書	38	主體內容同，個別有異，建議兩者同時收錄。復旦、吉大、國圖有
539	1-新編節義傳芳雪梅記（雪月梅）四卷	省港五桂堂刻本	中山大學圖書館	全	選	南音	88	即俗文學叢刊本《雪月梅》。
540	2-新編節義傳芳雪梅記（雪月梅）四卷	省港五桂堂刻本	廣州圖書館	殘	/	南音	82	按：兩底本同一機構不同板次，內容、版式完全同， 1完整，2殘缺，建議收1.
541	雪梅買水	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
542	1新刻崔文瑞張四姐南音全本（張四姐下凡）二卷（上卷）	以文堂據丹柱堂刻本改板印行	俗文學叢刊460冊	/	/	南音	/	兩者合在一起拼成一種。
543	2新刻崔文瑞張四姐南音全本（張四姐下凡）二卷（下卷）	以文堂據丹柱堂刻本改板印行	中山大學中國非物質文化遺產研究中心	/	/	南音	14	兩者合在一起拼成一種。
544	梨園雜調	以文堂板	廣東省立中山圖書館	全	選	龍舟歌	3	待核是否為偷盜解心。
545	新出做人難（做人難）	省港五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	5	/
546	新選繡像偶遇奇緣全本（陳探花南）二卷	廣州五桂堂據丹柱堂刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	選	南音？	32	/
547	新本偷詩稿（偷詩稿）	廣州五桂堂機器板	日本天理大學附屬天理圖書館	全	選	龍舟歌	3	與“世隆成親”合編；獨立收錄？請定。國圖上圖有。
548	新鳥獸名解心（鳥獸名解心） 閒情居士稿	清刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	/
549	1-週年快活	廣州五桂堂機器板	日本天理大學附屬天理圖書館	全	選	龍舟歌	3	上圖有偷偷拜月週年快活
550	1-週年快活	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	上圖有偷偷拜月週年快活
551	2周年快活	廣州以文堂板	俗文學叢刊419冊	全	/	龍舟歌	3	上圖有偷偷拜月週年快活
552	祭奠大沙頭金嬌（大沙頭祭奠金嬌）三卷	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	9	/
553	祭奠狄青二卷	廣州五桂堂藏板刻本	廣東省立中山圖書館	全	選	龍舟歌	6	/
554	麻瘋裝船	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	封面：瘋妹裝船
555	望月團圓	廣州以文堂	俗文學叢刊472冊	/	/	南音	7	粵圖有以文堂本
556	清閒擇錦	廣州五桂堂	俗文學叢刊476冊	/	/	南音	12	/
557	清新擇錦二卷	廣州以文堂	俗文學叢刊476冊	/	/	南音-木魚	23	/
558	趣緻龍舟添花報喜（最新趣緻龍舟添花報喜） 花邑徐庚暉編稿	五桂堂	佛山市博物館	殘	選	龍舟歌	3	此書有缺損，難以判斷是否缺頁
559	新本淑英燒衣附薦何文秀（燒衣何文秀）	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	6	/
560	1-全本梁山伯即係牡丹記南音（全本梁山伯牡丹記）二卷	廣州五桂堂	廣東省立中山圖書館	全	選	南音-木魚書	42	1、2、3完整，4缺卷上。2、3、4正文同，3底本好，與1正文、版本均有出入。建議選1與3。
561	2-重訂梁山伯牡丹記南音（正字梁山伯祝英臺）二卷	醉經書局	廣州圖書館	全	/	南音-木魚書	34	1、2、3完整，4缺卷上。2、3、4正文同，3底本好，與1正文、版本均有出入。建議選1與3。
562	3-重訂梁山伯牡丹記南音（正字梁山伯牡丹記全本）二卷	省港五桂堂機器板	廣州圖書館	全	選	南音-木魚書	37	1、2、3完整，4缺卷上。2、3、4正文同，3底本好，與1正文、版本均有出入。建議選1與3。
563	4-重訂梁山伯牡丹記南音（梁山伯牡丹記全本）二卷（存卷下）	廣州華興書局機器板	廣州圖書館	殘	/	南音-木魚書	19	1、2、3完整，4缺卷上。2、3、4正文同，3底本好，與1正文、版本均有出入。建議選1與3。
564	新輯梁山伯祝英台全集 餘瑞珊編輯	民國赤坎培記書局鉛印本	順德區圖書館	/	選	/	164	未檢查
565	1-梁李爭第一（滑稽歌謠梁李爭第一）二卷	廣州五桂堂刻本	廣東省立中山圖書館	全	/	南音？龍舟歌？	6	內容同，2較好。
566	2-梁李爭第一（正字南音梁李爭第一）二卷	省港五桂堂機器板	英國倫敦大學亞非學院圖書館	全	選	南音？龍舟歌？	6	書名標注南音，傅斯年與倫敦大學標注為龍舟歌。
567	梁佳自嘆五更（梁佳自嘆）	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	7	/
568	梁夢嬌遊拾殿	排印本	廣州圖書館	殘	/	南音-木魚書	64	尾題“陳孟包全卷終”。孔夫子舊書網有“民國臺山會文閣鉛印本；廣州民智書店印行本”，標注為木魚書。
569	梁夢嬌遊拾殿	民國鉛印本	順德區圖書館	待核	未查	南音-木魚書	42頁	尾題“陳孟包全卷終”。孔夫子舊書網有“民國臺山會文閣鉛印本；廣州民智書店印行本”，標注為木魚書。
570	新本張大少立妾（張大少立妾）二卷	省港五桂堂刻本（寫刻本？）	日本天理大學附屬天理圖書館	全	選	龍舟歌？	9	/
571	新刻本全琥珀釵記（琥珀姻緣）四卷	五桂堂板刻本	中山大學圖書館	全	選	南音	73	目錄：琥珀釵記花姐嫁
572	1-琥珀鳳釵兩集十二卷	醉經書局刻本	中山大學圖書館	全	選	南音	214	三底本內容同，2與3殘，建議收錄第1種。
573	新刻琥珀鳳釵柳希雲全本南音六卷；新刻後續琥珀鳳釵柳希雲全本南音六卷	醉經書局刻本	中山大學圖書館	全	選	南音	214	華師大、吉大有廣州刻本
574	2-新刻琥珀鳳釵柳希雲全本南音（初集）	五桂堂刻本	廣州圖書館	缺	/	南音	108	/
575	3-琥珀鳳釵兩集十二卷	醉經堂刻本	中山大學中國非物質文化遺產研究中心	缺	/	南音	178	/
576	新刻琥珀鳳釵柳希雲全本南音六卷（缺卷三卷四）；新刻後續琥珀鳳釵柳希雲全本南音六卷（缺卷六）	醉經堂刻本	中山大學中國非物質文化遺產研究中心	缺	/	南音	178	/
577	1-新選全本琥珀蘭簪（新南音全本琥珀蘭簪）六卷（缺卷一卷二若干） 漳江閒情居士訂	廣州崇德堂刻本	廣東省立中山圖書館	殘	/	南音	106	按：1與2底本同，印刷機構不同，底本均缺。兩者同時收錄？還是收錄俗文學本，請定。
578	2-新選全本琥珀蘭簪（琥珀蘭簪）六卷（闕卷四）閒情居士訂	醉經堂	中山大學中國非物質文化遺產研究中心	殘	/	南音	102	按：1與2底本同，印刷機構不同，底本均缺。兩者同時收錄？還是收錄俗文學本，請定。
579	3-琥珀蘭簪六卷	廣州醉經堂	俗文學叢刊475冊	/	/	南音	/	按：1與2底本同，印刷機構不同，底本均缺。兩者同時收錄？還是收錄俗文學本，請定。
580	揀擇交遊歌訣（存上卷）	廣州民智書店排印本	廣東省立中山圖書館	殘	/	待定	3	/
581	1-新刻全套黃飛虎反五關南音（黃飛虎反五關歸周記）二卷	丹柱堂刻本	廣州圖書館	殘	選	南音	13	按：1、2、3底本內容版式同，其中2殘。1與3全，但底本清晰度差不多，建議在1與3中選一。
582	2-新刻全套黃飛虎反五關南音（黃飛虎反五關）二卷	以文堂據舊板刻本改板印行刻本	中山大學圖書館	全	/	南音	21	按：1、2、3底本內容版式同，其中2殘。1與3全，但底本清晰度差不多，建議在1與3中選一。
583	3-新刻全套黃飛虎反五關南音（黃飛虎反五關歸周記）二卷	以文堂據舊板刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	/	南音	20	按：1、2、3底本內容版式同，其中2殘。1與3全，但底本清晰度差不多，建議在1與3中選一。
584	1-萬花樓狄青全本四集二十卷（缺初集）	五桂堂據丹柱堂刻本改板印行刻本	廣州圖書館	殘	/	南音-木魚書	251	新刻大宋萬花樓玉鴛鴦全本
585	1-萬花樓狄青全本四集二十卷（缺初集）	五桂堂據丹柱堂刻本改板印行刻本	廣州圖書館	殘	/	南音-木魚書	251	二續萬花樓五虎解征衣全本
586	1-萬花樓狄青全本四集二十卷（缺初集）	五桂堂據丹柱堂刻本改板印行刻本	廣州圖書館	殘	/	南音-木魚書	251	三續萬花樓狄青破西戎全本
587	1-萬花樓狄青全本四集二十卷（缺初集）	五桂堂據丹柱堂刻本改板印行刻本	廣州圖書館	殘	/	南音-木魚書	251	四續萬花樓包公築烏臺全本
588	1-萬花樓狄青全本四集二十卷（缺初集）	五桂堂據丹柱堂刻本改板印行刻本	廣州圖書館	殘	/	南音-木魚書	251	兩底本內容同
589	2-新選狄青下山掛帥征西戎四集二十卷新	以文堂據近文堂刻本 改板印行刻本	廣州圖書館	全	選	南音-木魚書	344	2題名待核，疑為萬花樓系列。
590	新選萬宿梁蕭全部（新選萬宿梁蕭）四卷	乾隆戊戌年新鐫進盛堂刻本	德國巴伐利亞州立圖書館	全	選	南音-木魚書	90	/
591	1-新刻董永全套仲舒尋母（董永賣身全本）三卷 馬學愚編	廣州五桂堂據丹柱堂刻本改板印行	廣東省立中山圖書館	全	/	南音-木魚書	40	按：1與2同，均完整，1、2均較好，2更佳。疑與237同。3與4同，均有缺，可以4為基準，用3補。兩種底本內容同，用詞用字上有異，建議收2與4（用3補配）。
592	2-新刻董永全套仲舒尋母（董永賣身全本）三卷 馬學愚編	廣州五桂堂據丹柱堂刻本改板印行刻末	英國倫敦大學亞非學院圖書館	全	選	南音-木魚書	40	按：1與2同，均完整，1、2均較好，2更佳。疑與237同。3與4同，均有缺，可以4為基準，用3補。兩種底本內容同，用詞用字上有異，建議收2與4（用3補配）。
593	3-新刻董永全套仲舒尋母三卷 馬學愚編	會文閣	廣東省立中山圖書館	殘	補4	南音-木魚書	151	按：1與2同，均完整，1、2均較好，2更佳。疑與237同。3與4同，均有缺，可以4為基準，用3補。兩種底本內容同，用詞用字上有異，建議收2與4（用3補配）。
594	4-新刻董永全套仲舒尋母（董永賣身）三卷	排印本	廣州圖書館	殘	選	南音-木魚書	151	按：1與2同，均完整，1、2均較好，2更佳。疑與237同。3與4同，均有缺，可以4為基準，用3補。兩種底本內容同，用詞用字上有異，建議收2與4（用3補配）。
595	董永賣身	廣州以文堂·丹柱堂板	俗文學叢刊434冊	/	/	南音-木魚書	/	/
596	1新選全本朝上鶯歌記（朝上鶯歌）四卷	五桂堂刻本	中山大學圖書館	全	選	南音-木魚書	70	按：底本內容大體同、排版不同，1全且底本較好，2缺3殘，個別用字異。建議選1與3。
597	2朝上鶯歌記（存卷三）	/	中山大學中國非物質文化遺產研究中心	殘	/	南音-木魚書	4	按：底本內容大體同、排版不同，1全且底本較好，2缺3殘，個別用字異。建議選1與3。
598	3新選全本朝上鶯歌記（朝上鶯哥）四卷	醉經書局刻本	廣州圖書館	殘	選	南音-木魚書	65	按：底本內容大體同、排版不同，1全且底本較好，2缺3殘，個別用字異。建議選1與3。
599	朝上鶯歌：四卷	民國鉛印本	順德區圖書館	/	/	/	67	未檢查
600	葵花記四卷	廣州醉經堂	俗文學叢刊473冊	/	/	南音	/	/
601	新選全本葵花記四卷 閑情居士訂	廣州德文堂刻本	順德區圖書館	全	選	南音	70	/
602	新刻雁翎扇墜x義奇緣（正字雁翎扇墜全本）四卷	廣州五桂堂機器板	法國陳慶浩	全	選	南音-木魚書	49	俗文學475，以文堂本，50頁。
603	1-新本雲英問病（雲英問病）	省港五桂堂抄刻本	廣東省立中山圖書館	/	選	龍舟歌	5	1為卷下，是否完整，待核。
604	2-雲英問病	廣州以文堂	俗文學叢刊415冊	/	選	龍舟歌	/	1為卷下，是否完整，待核。
605	雲英問病	廣州成文堂機器板	順德區圖書館	/	/	/	4	未檢查
606	1新刻正紫霞杯南音（紫霞杯全）四卷	廣州醉經書局據佛山舊刻本改板印行刻本	廣東省立中山圖書館	全	選	南音	77	按：2與3（卷二P13殘）分卷同，1與其分卷異。主題內容同，但1與2、3用字、措辭上有差異。收1與2，還是三者均收？
607	2新刻正字紫霞杯南音（紫霞杯）四卷	省港五桂堂機器板	廣州圖書館	全	選	南音	66	按：2與3（卷二P13殘）分卷同，1與其分卷異。主題內容同，但1與2、3用字、措辭上有差異。收1與2，還是三者均收？
608	3新刻正字紫霞杯南音（紫霞杯）四卷	華興書局排印本	廣州圖書館	全	待定	南音	58	按：2與3（卷二P13殘）分卷同，1與其分卷異。主題內容同，但1與2、3用字、措辭上有差異。收1與2，還是三者均收？
609	紫霞杯：四卷	民國鉛印本	順德區圖書館	/	/	南音	86	未檢查
610	貼錢買難受	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
611	閗線櫃（挑線櫃南音）	攀桂堂刻本	德國巴伐利亞州立圖書館	全	選	南音	4	分類據書中標識。
612	貴妃醉酒	廣州以文堂	俗文學叢刊414冊	/	/	龍舟歌	/	/
613	貴妃醉酒	廣州丹柱堂木刻本	鐵文軒	/	/	龍舟歌	4	未徵集
614	貴嬌問病	省港五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	/
615	1新本蛛絲琴初集（蛛絲琴）二卷	五桂堂	中山大學中國非物質文化遺產研究中心	全	選	南音	17	封面題“後續陰陽扇”。
616	2新本蛛絲琴初集（新出全本南音蛛絲琴記）二卷	廣州德文堂據舊本改板印行	廣東省立中山圖書館	全	/	南音	17	按：兩者內容、版式同，1底本較清晰，建議選1
617	禦結荼蘼原本（新刻禦結荼蘼全本）六卷	五桂堂刻本	中山大學圖書館	全	選	南音	92	核實禦字
618	欽點一枝花	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
619	1-新選番寶海棠全本（番寶海棠）四卷	東莞萃英樓藏板光緒十三年刻本	中山大學圖書館	全	/	南音	48	出版機構不同，但選用底本同。1底本尚可，但卷四P11-12殘。2底本亦不錯，但卷一P1有殘。似2翻刻1。選1還是2請定？
620	2-新選番寶海棠全本（番寶海棠）四卷	以文堂刻東莞萃英樓藏版本	中山大學中國非物質文化遺產研究中心	全	/	南音	48	出版機構不同，但選用底本同。1底本尚可，但卷四P11-12殘。2底本亦不錯，但卷一P1有殘。似2翻刻1。選1還是2請定？
621	1-新刻番寶名琴全本（番寶名琴）三卷	東莞會源堂據萃英樓藏板印行嘉慶十二年刻本	中山大學圖書館	全	選	南音	55	按：兩底本內容同，個別措辭不同，2存二卷，建議同時收錄。
622	2-新刻番寶名琴全本（番寶名琴全本）三卷（存二卷）	莞城明秀堂刻本	德國巴伐利亞州立圖書館	缺	選	南音	/	按：兩底本內容同，個別措辭不同，2存二卷，建議同時收錄。
623	貂蟬拜月	廣州五桂堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
624	接續大唐征西二棄梨花（二棄梨花）四卷	省港五桂堂機器版	廣東省立中山圖書館	全	選	南音	57	此為《仁貴征西》薛丁山續集，復旦有醉經書局石印本。
625	1-後續大唐三棄梨花全本（三棄梨花）四卷（缺卷四）	五桂堂據舊版刻本改板印行	中山大學中國非物質文化遺產研究中心	殘	待定	南音	46	2與3內容、版式、用字一致，1與2、3主體內容同，版式不一，用字個別有差異。
